IDKhachHang,gioi_tinh,nguoi_cao_tuoi,Hon_nhan,nguoi_phu_thuoc,so_thang_su_dung,dich_vu_dien_thoai,nhieu_nha_cung_cap,dich_vu_internet,bao_mat_truc_tuyen,sao_luu_truc_tuyen,bao_ve_thiet_bi,ho_tro_ky_thuat,xem_tivi_truc_tuyen,xem_phim_truc_tuyen,thoi_han_hop_dong,hoa_don_dien_tu,phuong_thuc_thanh_toan,phi_hang_thang,tong_chi_phi,ngung_su_dung
7469-LKBCI,Nam,0,Khong,Khong,16,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,18.95,326.8,Khong
8091-TTVAX,Nam,0,Co,Khong,58,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang nam,Khong,the tin dung,100.35,5681.1,Khong
0280-XJGEX,Nam,0,Khong,Khong,49,Co,Co,Cap quang,Khong,Co,Co,Khong,Co,Co,hang thang,Co,chuyen khoang ngan hang,103.7,5036.3,Co
5129-JLPIS,Nam,0,Khong,Khong,25,Co,Khong,Cap quang,Co,Khong,Co,Co,Co,Co,hang thang,Co,Sec dien tu,105.5,2686.05,Khong
3655-SNQYZ,Nu,0,Co,Co,69,Co,Co,Cap quang,Co,Co,Co,Co,Co,Co,hai nam,Khong,the tin dung,113.25,7895.15,Khong
8191-XWSZG,Nu,0,Khong,Khong,52,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,20.65,1022.95,Khong
9959-WOFKT,Nam,0,Khong,Co,71,Co,Co,Cap quang,Co,Khong,Co,Khong,Co,Co,hai nam,Khong,chuyen khoang ngan hang,106.7,7382.25,Khong
4190-MFLUW,Nu,0,Co,Co,10,Co,Khong,DSL,Khong,Khong,Co,Co,Khong,Khong,hang thang,Khong,the tin dung,55.2,528.35,Co
4183-MYFRB,Nu,0,Khong,Khong,21,Co,Khong,Cap quang,Khong,Co,Co,Khong,Khong,Co,hang thang,Co,Sec dien tu,90.05,1862.9,Khong
8779-QRDMV,Nam,1,Khong,Khong,1,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Co,Khong,Khong,Co,hang thang,Co,Sec dien tu,39.65,39.65,Co
1680-VDCWW,Nam,0,Co,Khong,12,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,chuyen khoang ngan hang,19.8,202.25,Khong
1066-JKSGK,Nam,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.15,20.15,Co
3638-WEABW,Nu,0,Co,Khong,58,Co,Co,DSL,Khong,Co,Khong,Co,Khong,Khong,hai nam,Co,the tin dung,59.9,3505.1,Khong
6322-HRPFA,Nam,0,Co,Co,49,Co,Khong,DSL,Co,Co,Khong,Co,Khong,Khong,hang thang,Khong,the tin dung,59.6,2970.3,Khong
6865-JZNKO,Nu,0,Khong,Khong,30,Co,Khong,DSL,Co,Co,Khong,Khong,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,55.3,1530.6,Khong
6467-CHFZW,Nam,0,Co,Co,47,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,99.35,4749.15,Co
8665-UTDHZ,Nam,0,Co,Co,1,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,30.2,30.2,Co
5248-YGIJN,Nam,0,Co,Khong,72,Co,Co,DSL,Co,Co,Co,Co,Co,Co,hai nam,Co,the tin dung,90.25,6369.45,Khong
8773-HHUOZ,Nu,0,Khong,Co,17,Co,Khong,DSL,Khong,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec buu dien,64.7,1093.1,Co
3841-NFECX,Nu,1,Co,Khong,71,Co,Co,Cap quang,Co,Co,Co,Co,Khong,Khong,hai nam,Co,the tin dung,96.35,6766.95,Khong
4929-XIHVW,Nam,1,Co,Khong,2,Co,Khong,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang thang,Co,the tin dung,95.5,181.65,Khong
6827-IEAUQ,Nu,0,Co,Co,27,Co,Khong,DSL,Co,Co,Co,Co,Khong,Khong,hang nam,Khong,Sec buu dien,66.15,1874.45,Khong
7310-EGVHZ,Nam,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,chuyen khoang ngan hang,20.2,20.2,Khong
3413-BMNZE,Nam,1,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,chuyen khoang ngan hang,45.25,45.25,Khong
6234-RAAPL,Nu,0,Co,Co,72,Co,Co,Cap quang,Co,Co,Khong,Co,Co,Khong,hai nam,Khong,chuyen khoang ngan hang,99.9,7251.7,Khong
6047-YHPVI,Nam,0,Khong,Khong,5,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,69.7,316.9,Co
6572-ADKRS,Nu,0,Khong,Khong,46,Co,Khong,Cap quang,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Co,the tin dung,74.8,3548.3,Khong
5380-WJKOV,Nam,0,Khong,Khong,34,Co,Co,Cap quang,Khong,Co,Co,Khong,Co,Co,hang thang,Co,Sec dien tu,106.35,3549.25,Co
8168-UQWWF,Nu,0,Khong,Khong,11,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang thang,Co,chuyen khoang ngan hang,97.85,1105.4,Co
8865-TNMNX,Nam,0,Co,Co,10,Co,Khong,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang nam,Khong,Sec buu dien,49.55,475.7,Khong
9489-DEDVP,Nu,0,Co,Co,70,Co,Co,DSL,Co,Co,Khong,Khong,Co,Khong,hai nam,Co,the tin dung,69.2,4872.35,Khong
9867-JCZSP,Nu,0,Co,Co,17,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,20.75,418.25,Khong
4671-VJLCL,Nu,0,Khong,Khong,63,Co,Co,DSL,Co,Co,Co,Co,Co,Khong,hai nam,Co,the tin dung,79.85,4861.45,Khong
4080-IIARD,Nu,0,Co,Khong,13,Co,Co,DSL,Co,Co,Khong,Co,Co,Khong,hang thang,Co,Sec dien tu,76.2,981.45,Khong
3714-NTNFO,Nu,0,Khong,Khong,49,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,84.5,3906.7,Khong
5948-UJZLF,Nam,0,Khong,Khong,2,Co,Khong,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,49.25,97,Khong
7760-OYPDY,Nu,0,Khong,Khong,2,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Co,Khong,hang thang,Co,Sec dien tu,80.65,144.15,Co
7639-LIAYI,Nam,0,Khong,Khong,52,Co,Co,DSL,Co,Khong,Khong,Co,Co,Co,hai nam,Co,the tin dung,79.75,4217.8,Khong
2954-PIBKO,Nu,0,Co,Co,69,Co,Co,DSL,Co,Khong,Co,Co,Khong,Khong,hai nam,Co,the tin dung,64.15,4254.1,Khong
8012-SOUDQ,Nu,1,Khong,Khong,43,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Khong,hang thang,Co,Sec dien tu,90.25,3838.75,Khong
9420-LOJKX,Nu,0,Khong,Khong,15,Co,Khong,Cap quang,Co,Co,Khong,Khong,Co,Co,hang thang,Co,the tin dung,99.1,1426.4,Co
6575-SUVOI,Nu,1,Co,Khong,25,Co,Co,DSL,Co,Khong,Khong,Co,Co,Khong,hang thang,Co,the tin dung,69.5,1752.65,Khong
7495-OOKFY,Nu,1,Co,Khong,8,Co,Co,Cap quang,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Co,the tin dung,80.65,633.3,Co
4667-QONEA,Nu,1,Co,Co,60,Co,Khong,DSL,Co,Co,Co,Co,Khong,Co,hang nam,Co,the tin dung,74.85,4456.35,Khong
1658-BYGOY,Nam,1,Khong,Khong,18,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,95.45,1752.55,Co
8769-KKTPH,Nu,0,Co,Co,63,Co,Co,Cap quang,Co,Khong,Khong,Khong,Co,Co,hang nam,Co,the tin dung,99.65,6311.2,Khong
5067-XJQFU,Nam,1,Co,Co,66,Co,Co,Cap quang,Khong,Co,Co,Co,Co,Co,hang nam,Co,Sec dien tu,108.45,7076.35,Khong
3957-SQXML,Nu,0,Co,Co,34,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,24.95,894.3,Khong
5954-BDFSG,Nu,0,Khong,Khong,72,Co,Co,Cap quang,Khong,Khong,Co,Co,Co,Co,hai nam,Co,the tin dung,107.5,7853.7,Khong
0434-CSFON,Nu,0,Co,Khong,47,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang thang,Co,Sec dien tu,100.5,4707.1,Khong
1215-FIGMP,Nam,0,Khong,Khong,60,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Khong,hang thang,Co,chuyen khoang ngan hang,89.9,5450.7,Khong
0526-SXDJP,Nam,0,Co,Khong,72,Khong,khong co dich vu dien thoai,DSL,Co,Co,Co,Khong,Khong,Khong,hai nam,Khong,chuyen khoang ngan hang,42.1,2962,Khong
0557-ASKVU,Nu,0,Co,Co,18,Co,Khong,DSL,Khong,Khong,Co,Co,Khong,Khong,hang nam,Co,the tin dung,54.4,957.1,Khong
5698-BQJOH,Nu,0,Khong,Khong,9,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang thang,Khong,Sec dien tu,94.4,857.25,Co
5122-CYFXA,Nu,0,Khong,Khong,3,Co,Khong,DSL,Khong,Co,Khong,Co,Co,Co,hang thang,Co,Sec dien tu,75.3,244.1,Khong
8627-ZYGSZ,Nam,0,Co,Khong,47,Co,Co,Cap quang,Khong,Co,Khong,Khong,Khong,Khong,hang nam,Co,Sec dien tu,78.9,3650.35,Khong
3410-YOQBQ,Nu,0,Khong,Khong,31,Co,Khong,DSL,Khong,Co,Co,Co,Co,Co,hai nam,Khong,Sec buu dien,79.2,2497.2,Khong
3170-NMYVV,Nu,0,Co,Co,50,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,chuyen khoang ngan hang,20.15,930.9,Khong
7410-OIEDU,Nam,0,Khong,Khong,10,Co,Khong,Cap quang,Co,Khong,Co,Khong,Khong,Khong,hang thang,Co,Sec buu dien,79.85,887.35,Khong
2273-QCKXA,Nam,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Co,Khong,Khong,hang thang,Khong,Sec buu dien,49.05,49.05,Khong
0731-EBJQB,Nu,0,Co,Co,52,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Co,Sec dien tu,20.4,1090.65,Khong
1891-QRQSA,Nam,1,Co,Co,64,Co,Co,Cap quang,Co,Khong,Co,Co,Co,Co,hai nam,Co,chuyen khoang ngan hang,111.6,7099,Khong
8028-PNXHQ,Nam,0,Co,Co,62,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,chuyen khoang ngan hang,24.25,1424.6,Khong
5630-AHZIL,Nu,0,Khong,Co,3,Co,Khong,DSL,Co,Khong,Khong,Co,Khong,Co,hang thang,Co,chuyen khoang ngan hang,64.5,177.4,Khong
2673-CXQEU,Nu,1,Khong,Khong,56,Co,Co,Cap quang,Co,Co,Co,Khong,Co,Co,hang nam,Khong,Sec dien tu,110.5,6139.5,Khong
6416-JNVRK,Nu,0,Khong,Khong,46,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Co,hang nam,Khong,the tin dung,55.65,2688.85,Khong
5590-ZSKRV,Nu,0,Co,Co,8,Co,Khong,DSL,Co,Co,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,54.65,482.25,Khong
0191-ZHSKZ,Nam,1,Khong,Khong,30,Co,Khong,DSL,Co,Co,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,74.75,2111.3,Khong
3887-PBQAO,Nu,0,Co,Co,45,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Co,the tin dung,25.9,1216.6,Khong
5919-TMRGD,Nu,0,Khong,Co,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Co,Khong,hang thang,Co,Sec dien tu,79.35,79.35,Co
8108-UXRQN,Nu,0,Co,Co,11,Khong,khong co dich vu dien thoai,DSL,Co,Khong,Khong,Khong,Co,Co,hang thang,Khong,Sec dien tu,50.55,565.35,Khong
9191-MYQKX,Nu,0,Co,Khong,7,Co,Khong,Cap quang,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,75.15,496.9,Co
9919-YLNNG,Nu,0,Khong,Khong,42,Co,Khong,Cap quang,Khong,Co,Co,Co,Co,Co,hang thang,Co,chuyen khoang ngan hang,103.8,4327.5,Khong
0318-ZOPWS,Nu,0,Co,Khong,49,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,chuyen khoang ngan hang,20.15,973.35,Khong
4445-ZJNMU,Nam,0,Khong,Khong,9,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Co,hang thang,Co,the tin dung,99.3,918.75,Khong
4808-YNLEU,Nu,0,Co,Khong,35,Co,Khong,DSL,Co,Khong,Khong,Khong,Co,Khong,hang nam,Co,chuyen khoang ngan hang,62.15,2215.45,Khong
1862-QRWPE,Nu,0,Co,Co,48,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,chuyen khoang ngan hang,20.65,1057,Khong
2796-NNUFI,Nu,0,Co,Co,46,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,Sec buu dien,19.95,927.1,Khong
3016-KSVCP,Nam,0,Co,Khong,29,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Khong,Co,Khong,hang thang,Khong,Sec buu dien,33.75,1009.25,Khong
4767-HZZHQ,Nam,0,Co,Co,30,Co,Khong,Cap quang,Khong,Co,Co,Khong,Khong,Khong,hang thang,Khong,chuyen khoang ngan hang,82.05,2570.2,Khong
2424-WVHPL,Nam,1,Khong,Khong,1,Co,Khong,Cap quang,Khong,Khong,Khong,Co,Khong,Khong,hang thang,Khong,Sec dien tu,74.7,74.7,Khong
7233-PAHHL,Nam,0,Co,Co,66,Co,Co,DSL,Co,Khong,Co,Co,Co,Co,hai nam,Co,Sec buu dien,84,5714.25,Khong
6067-NGCEU,Nu,0,Khong,Khong,65,Co,Co,Cap quang,Co,Co,Co,Khong,Co,Co,hang thang,Co,the tin dung,111.05,7107,Khong
9848-JQJTX,Nam,0,Khong,Khong,72,Co,Co,Cap quang,Khong,Co,Co,Khong,Co,Co,hai nam,Co,chuyen khoang ngan hang,100.9,7459.05,Khong
8637-XJIVR,Nu,0,Khong,Khong,12,Co,Co,Cap quang,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,78.95,927.35,Co
9803-FTJCG,Nam,0,Co,Co,71,Co,Co,DSL,Co,Co,Khong,Co,Khong,Khong,hang nam,Co,the tin dung,66.85,4748.7,Khong
0278-YXOOG,Nam,0,Khong,Khong,5,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,21.05,113.85,Co
3212-KXOCR,Nam,0,Khong,Khong,52,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,chuyen khoang ngan hang,21,1107.2,Khong
4598-XLKNJ,Nu,1,Co,Khong,25,Co,Khong,Cap quang,Khong,Co,Co,Khong,Co,Co,hang thang,Co,Sec dien tu,98.5,2514.5,Co
6380-ARCEH,Nam,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.2,20.2,Khong
3679-XASPY,Nu,0,Co,Co,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec dien tu,19.45,19.45,Khong
7123-WQUHX,Nam,0,Khong,Khong,38,Co,Co,Cap quang,Khong,Khong,Co,Co,Co,Khong,hang nam,Khong,chuyen khoang ngan hang,95,3605.6,Khong
5386-THSLQ,Nu,1,Co,Khong,66,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Co,Khong,Co,Khong,hang nam,Khong,chuyen khoang ngan hang,45.55,3027.25,Khong
3192-NQECA,Nam,0,Co,Khong,68,Co,Co,Cap quang,Khong,Co,Co,Co,Co,Co,hai nam,Co,chuyen khoang ngan hang,110,7611.85,Co
6180-YBIQI,Nam,0,Khong,Khong,5,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,24.3,100.2,Khong
6728-DKUCO,Nu,0,Co,Co,72,Co,Co,Cap quang,Co,Co,Khong,Khong,Co,Co,hang nam,Co,Sec dien tu,104.15,7303.05,Khong
9750-BOOHV,Nu,0,Khong,Khong,32,Khong,khong co dich vu dien thoai,DSL,Co,Khong,Khong,Khong,Khong,Khong,hang nam,Khong,Sec buu dien,30.15,927.65,Khong
8597-CWYHH,Nam,0,Khong,Khong,43,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang nam,Khong,Sec buu dien,94.35,3921.3,Khong
2848-YXSMW,Nam,0,Co,Co,72,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,19.4,1363.25,Khong
0486-HECZI,Nam,0,Co,Khong,55,Co,Co,Cap quang,Co,Co,Khong,Khong,Co,Khong,hang thang,Co,Sec dien tu,96.75,5238.9,Co
4549-ZDQYY,Nu,0,Khong,Khong,52,Co,Khong,DSL,Co,Khong,Co,Co,Khong,Khong,hang nam,Khong,the tin dung,57.95,3042.25,Khong
5712-AHQNN,Nu,0,Khong,Khong,43,Co,Khong,Cap quang,Khong,Co,Co,Khong,Co,Khong,hang thang,Co,Sec dien tu,91.65,3954.1,Khong
4846-WHAFZ,Nu,1,Co,Khong,37,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,76.5,2868.15,Co
5256-SKJGO,Nu,0,Co,Co,64,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Khong,Co,Co,Co,hai nam,Co,Sec dien tu,54.6,3423.5,Khong
3071-VBYPO,Nam,0,Co,Co,3,Co,Khong,Cap quang,Co,Co,Khong,Khong,Co,Khong,hang thang,Khong,Sec dien tu,89.85,248.4,Khong
9560-BBZXK,Nu,0,Khong,Khong,36,Khong,khong co dich vu dien thoai,DSL,Co,Khong,Khong,Khong,Khong,Khong,hai nam,Khong,chuyen khoang ngan hang,31.05,1126.35,Khong
5299-RULOA,Nu,0,Co,Co,10,Co,Co,Cap quang,Co,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,100.25,1064.65,Co
8402-OOOHJ,Nu,0,Khong,Khong,41,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec buu dien,20.65,835.15,Khong
9445-ZUEQE,Nam,0,Co,Co,27,Co,Co,Cap quang,Khong,Co,Khong,Co,Khong,Khong,hang thang,Co,the tin dung,85.2,2151.6,Khong
1091-SOZGA,Nu,0,Co,Co,56,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang nam,Co,the tin dung,99.8,5515.45,Khong
2928-HLDBA,Nu,0,Khong,Khong,6,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.7,112.75,Khong
0404-SWRVG,Nam,0,Khong,Khong,3,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,74.4,229.55,Co
6497-TILVL,Nu,0,Co,Co,7,Co,Khong,DSL,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,50.7,350.35,Khong
7219-TLZHO,Nu,0,Co,Co,4,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.85,62.9,Khong
4622-YNKIJ,Nam,0,Khong,Khong,33,Co,Khong,Cap quang,Co,Khong,Khong,Co,Co,Khong,hai nam,Co,Sec dien tu,88.95,3027.65,Khong
4412-YLTKF,Nu,1,Khong,Khong,27,Co,Co,Cap quang,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Co,Sec dien tu,78.05,2135.5,Co
6734-PSBAW,Nam,0,Co,Khong,72,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,chuyen khoang ngan hang,23.55,1723.95,Khong
3930-ZGWVE,Nam,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,19.75,19.75,Khong
2639-UGMAZ,Nam,1,Khong,Khong,71,Khong,khong co dich vu dien thoai,DSL,Co,Co,Khong,Khong,Co,Co,hang nam,Co,Sec dien tu,56.45,3985.35,Khong
2876-GZYZC,Nu,0,Khong,Khong,13,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,85.95,1215.65,Khong
6207-WIOLX,Nu,0,Co,Co,25,Khong,khong co dich vu dien thoai,DSL,Co,Co,Co,Khong,Co,Co,hang thang,Co,the tin dung,58.6,1502.65,Co
8587-XYZSF,Nam,0,Khong,Khong,67,Co,Khong,DSL,Khong,Khong,Khong,Co,Khong,Khong,hai nam,Khong,chuyen khoang ngan hang,50.55,3260.1,Khong
3091-FYHKI,Nam,0,Khong,Khong,1,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,35.45,35.45,Co
2372-HWUHI,Nam,0,Khong,Khong,2,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,44.35,81.25,Co
7799-LGRDP,Nu,0,Khong,Khong,43,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,the tin dung,25.7,1188.2,Khong
7850-VWJUU,Nu,0,Khong,Khong,23,Co,Khong,Cap quang,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,75,1778.5,Khong
3774-VBNXY,Nu,0,Co,Co,64,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec buu dien,20.2,1277.75,Khong
6217-KDYWC,Nam,0,Khong,Co,57,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,Sec buu dien,19.6,1170.55,Khong
0390-DCFDQ,Nu,1,Co,Khong,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,70.45,70.45,Co
3146-MSEGF,Nu,1,Co,Co,72,Co,Co,DSL,Co,Co,Co,Co,Co,Co,hai nam,Co,the tin dung,88.05,6425.65,Khong
4080-OGPJL,Nu,0,Khong,Khong,8,Co,Co,DSL,Co,Khong,Khong,Co,Khong,Co,hang thang,Khong,Sec dien tu,71.15,563.65,Co
1095-WGNGG,Nu,0,Co,Khong,61,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Co,hai nam,Co,chuyen khoang ngan hang,101.05,5971.25,Khong
2636-SJDOU,Nam,0,Khong,Khong,64,Co,Co,Cap quang,Co,Co,Khong,Khong,Khong,Khong,hang nam,Co,the tin dung,84.3,5289.05,Khong
