,gioi_tinh,nguoi_cao_tuoi,Hon_nhan,nguoi_phu_thuoc,so_thang_su_dung,dich_vu_dien_thoai,nhieu_nha_cung_cap,dich_vu_internet,bao_mat_truc_tuyen,sao_luu_truc_tuyen,bao_ve_thiet_bi,ho_tro_ky_thuat,xem_tivi_truc_tuyen,xem_phim_truc_tuyen,thoi_han_hop_dong,hoa_don_dien_tu,phuong_thuc_thanh_toan,phi_hang_thang,tong_chi_phi,ngung_su_dung
26,0,0,0,0,47,0,0,0,1,0,1,1,0,0,2,0,1,99.35,4749.15,0
27,0,0,0,0,1,1,2,1,1,0,1,1,1,1,2,1,1,30.2,30.2,0
28,0,0,0,1,72,0,0,1,0,0,0,0,0,0,0,0,3,90.25,6369.45,1
29,1,0,1,0,17,0,1,1,1,1,1,1,0,0,2,0,0,64.7,1093.1,0
30,1,1,0,1,71,0,0,0,0,0,0,0,1,1,0,0,3,96.35,6766.95,1
31,0,1,0,1,2,0,1,0,1,1,0,1,0,0,2,0,3,95.5,181.65,1
32,1,0,0,0,27,0,1,1,0,0,0,0,1,1,1,1,0,66.15,1874.45,1
33,0,0,1,1,1,0,1,2,2,2,2,2,2,2,2,1,2,20.2,20.2,1
34,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,2,45.25,45.25,1
35,1,0,0,0,72,0,0,0,0,0,1,0,0,1,0,1,2,99.9,7251.7,1
36,0,0,1,1,5,0,1,0,1,1,1,1,1,1,2,0,1,69.7,316.9,0
37,1,0,1,1,46,0,1,0,1,1,0,1,1,1,2,0,3,74.8,3548.3,1
38,0,0,1,1,34,0,0,0,1,0,0,1,0,0,2,0,1,106.35,3549.25,0
39,1,0,1,1,11,0,0,0,1,1,0,1,0,0,2,0,2,97.85,1105.4,0
40,0,0,0,0,10,0,1,1,1,0,1,1,1,1,1,1,0,49.55,475.7,1
41,1,0,0,0,70,0,0,1,0,0,1,1,0,1,0,0,3,69.2,4872.35,1
42,1,0,0,0,17,0,1,2,2,2,2,2,2,2,1,1,0,20.75,418.25,1
43,1,0,1,1,63,0,0,1,0,0,0,0,0,1,0,0,3,79.85,4861.45,1
44,1,0,0,1,13,0,0,1,0,0,1,0,0,1,2,0,1,76.2,981.45,1
45,1,0,1,1,49,0,0,0,1,1,1,1,1,0,2,0,1,84.5,3906.7,1
46,0,0,1,1,2,0,1,1,1,0,1,1,1,1,2,1,0,49.25,97.0,1
47,1,0,1,1,2,0,1,0,1,1,1,1,0,1,2,0,1,80.65,144.15,0
48,0,0,1,1,52,0,0,1,0,1,1,0,0,0,0,0,3,79.75,4217.8,1
49,1,0,0,0,69,0,0,1,0,1,0,0,1,1,0,0,3,64.15,4254.1,1
50,1,1,1,1,43,0,0,0,1,0,1,1,0,1,2,0,1,90.25,3838.75,1
51,1,0,1,1,15,0,1,0,0,0,1,1,0,0,2,0,3,99.1,1426.4,0
52,1,1,0,1,25,0,0,1,0,1,1,0,0,1,2,0,3,69.5,1752.65,1
53,1,1,0,1,8,0,0,0,1,0,1,1,1,1,2,0,3,80.65,633.3,0
54,1,1,0,0,60,0,1,1,0,0,0,0,1,0,1,0,3,74.85,4456.35,1
55,0,1,1,1,18,0,0,0,1,1,1,1,0,0,2,0,1,95.45,1752.55,0
56,1,0,0,0,63,0,0,0,0,1,1,1,0,0,1,0,3,99.65,6311.2,1
57,0,1,0,0,66,0,0,0,1,0,0,0,0,0,1,0,1,108.45,7076.35,1
58,1,0,0,0,34,0,0,2,2,2,2,2,2,2,0,1,3,24.95,894.3,1
59,1,0,1,1,72,0,0,0,1,1,0,0,0,0,0,0,3,107.5,7853.7,1
60,1,0,0,1,47,0,0,0,1,1,0,1,0,0,2,0,1,100.5,4707.1,1
61,0,0,1,1,60,0,0,0,1,0,1,1,0,1,2,0,2,89.9,5450.7,1
62,0,0,0,1,72,1,2,1,0,0,0,1,1,1,0,1,2,42.1,2962.0,1
63,1,0,0,0,18,0,1,1,1,1,0,0,1,1,1,0,3,54.4,957.1,1
64,1,0,1,1,9,0,0,0,1,1,1,1,0,0,2,1,1,94.4,857.25,0
65,1,0,1,1,3,0,1,1,1,0,1,0,0,0,2,0,1,75.3,244.1,1
66,0,0,0,1,47,0,0,0,1,0,1,1,1,1,1,0,1,78.9,3650.35,1
67,1,0,1,1,31,0,1,1,1,0,0,0,0,0,0,1,0,79.2,2497.2,1
68,1,0,0,0,50,0,1,2,2,2,2,2,2,2,0,1,2,20.15,930.9,1
69,0,0,1,1,10,0,1,0,0,1,0,1,1,1,2,0,0,79.85,887.35,1
70,0,0,1,1,1,0,1,1,1,1,1,0,1,1,2,1,0,49.05,49.05,1
71,1,0,0,0,52,0,1,2,2,2,2,2,2,2,1,0,1,20.4,1090.65,1
72,0,1,0,0,64,0,0,0,0,1,0,0,0,0,0,0,2,111.6,7099.0,1
73,0,0,0,0,62,0,0,2,2,2,2,2,2,2,0,0,2,24.25,1424.6,1
74,1,0,1,0,3,0,1,1,0,1,1,0,1,0,2,0,2,64.5,177.4,1
75,1,1,1,1,56,0,0,0,0,0,0,1,0,0,1,1,1,110.5,6139.5,1
76,1,0,1,1,46,0,1,1,1,1,1,1,1,0,1,1,3,55.65,2688.85,1
77,1,0,0,0,8,0,1,1,0,0,1,1,1,1,2,1,0,54.65,482.25,1
78,0,1,1,1,30,0,1,1,0,0,1,1,0,0,2,0,1,74.75,2111.3,1
79,1,0,0,0,45,0,0,2,2,2,2,2,2,2,1,0,3,25.9,1216.6,1
80,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,0,1,79.35,79.35,0
81,1,0,0,0,11,1,2,1,0,1,1,1,0,0,2,1,1,50.55,565.35,1
82,1,0,0,1,7,0,1,0,1,1,0,1,1,1,2,0,2,75.15,496.9,0
83,1,0,1,1,42,0,1,0,1,0,0,0,0,0,2,0,2,103.8,4327.5,1
84,1,0,0,1,49,0,1,2,2,2,2,2,2,2,0,0,2,20.15,973.35,1
85,0,0,1,1,9,0,0,0,1,0,1,1,0,0,2,0,3,99.3,918.75,1
86,1,0,0,1,35,0,1,1,0,1,1,1,0,1,1,0,2,62.15,2215.45,1
87,1,0,0,0,48,0,1,2,2,2,2,2,2,2,0,1,2,20.65,1057.0,1
88,1,0,0,0,46,0,1,2,2,2,2,2,2,2,0,0,0,19.95,927.1,1
89,0,0,0,1,29,1,2,1,1,1,1,1,0,1,2,1,0,33.75,1009.25,1
90,0,0,0,0,30,0,1,0,1,0,0,1,1,1,2,1,2,82.05,2570.2,1
91,0,1,1,1,1,0,1,0,1,1,1,0,1,1,2,1,1,74.7,74.7,1
92,0,0,0,0,66,0,0,1,0,1,0,0,0,0,0,0,0,84.0,5714.25,1
93,1,0,1,1,65,0,0,0,0,0,0,1,0,0,2,0,3,111.05,7107.0,1
94,0,0,1,1,72,0,0,0,1,0,0,1,0,0,0,0,2,100.9,7459.05,1
95,1,0,1,1,12,0,0,0,0,1,1,1,1,1,2,0,1,78.95,927.35,0
96,0,0,0,0,71,0,0,1,0,0,1,0,1,1,1,0,3,66.85,4748.7,1
97,0,0,1,1,5,0,1,2,2,2,2,2,2,2,2,1,0,21.05,113.85,0
98,0,0,1,1,52,0,1,2,2,2,2,2,2,2,0,1,2,21.0,1107.2,1
99,1,1,0,1,25,0,1,0,1,0,0,1,0,0,2,0,1,98.5,2514.5,0
100,0,0,1,1,1,0,1,2,2,2,2,2,2,2,2,1,0,20.2,20.2,1
101,1,0,0,0,1,0,1,2,2,2,2,2,2,2,2,1,1,19.45,19.45,1
102,0,0,1,1,38,0,0,0,1,1,0,0,0,1,1,1,2,95.0,3605.6,1
103,1,1,0,1,66,1,2,1,1,0,0,1,0,1,1,1,2,45.55,3027.25,1
104,0,0,0,1,68,0,0,0,1,0,0,0,0,0,0,0,2,110.0,7611.85,0
105,0,0,1,1,5,1,2,1,1,1,1,1,1,1,2,1,0,24.3,100.2,1
106,1,0,0,0,72,0,0,0,0,0,1,1,0,0,1,0,1,104.15,7303.05,1
107,1,0,1,1,32,1,2,1,0,1,1,1,1,1,1,1,0,30.15,927.65,1
108,0,0,1,1,43,0,0,0,1,1,1,1,0,0,1,1,0,94.35,3921.3,1
109,0,0,0,0,72,0,1,2,2,2,2,2,2,2,0,1,3,19.4,1363.25,1
110,0,0,0,1,55,0,0,0,0,0,1,1,0,1,2,0,1,96.75,5238.9,0
111,1,0,1,1,52,0,1,1,0,1,0,0,1,1,1,1,3,57.95,3042.25,1
112,1,0,1,1,43,0,1,0,1,0,0,1,0,1,2,0,1,91.65,3954.1,1
113,1,1,0,1,37,0,0,0,1,1,1,1,1,1,2,0,1,76.5,2868.15,0
114,1,0,0,0,64,1,2,1,1,0,1,0,0,0,0,0,1,54.6,3423.5,1
115,0,0,0,0,3,0,1,0,0,0,1,1,0,1,2,1,1,89.85,248.4,1
116,1,0,1,1,36,1,2,1,0,1,1,1,1,1,0,1,2,31.05,1126.35,1
117,1,0,0,0,10,0,0,0,0,1,1,1,0,0,2,0,1,100.25,1064.65,0
118,1,0,1,1,41,0,1,2,2,2,2,2,2,2,0,1,0,20.65,835.15,1
119,0,0,0,0,27,0,0,0,1,0,1,0,1,1,2,0,3,85.2,2151.6,1
120,1,0,0,0,56,0,0,0,1,1,0,1,0,0,1,0,3,99.8,5515.45,1
121,1,0,1,1,6,0,1,2,2,2,2,2,2,2,2,1,0,20.7,112.75,1
122,0,0,1,1,3,0,0,0,1,1,1,1,1,1,2,0,1,74.4,229.55,0
123,1,0,0,0,7,0,1,1,0,1,1,1,1,1,2,1,0,50.7,350.35,1
124,1,0,0,0,4,0,1,2,2,2,2,2,2,2,2,1,0,20.85,62.9,1
125,0,0,1,1,33,0,1,0,0,1,1,0,0,1,0,0,1,88.95,3027.65,1
126,1,1,1,1,27,0,0,0,1,1,0,1,1,1,2,0,1,78.05,2135.5,0
127,0,0,0,1,72,0,0,2,2,2,2,2,2,2,0,0,2,23.55,1723.95,1
128,0,0,1,1,1,0,1,2,2,2,2,2,2,2,2,1,0,19.75,19.75,1
129,0,1,1,1,71,1,2,1,0,0,1,1,0,0,1,0,1,56.45,3985.35,1
130,1,0,1,1,13,0,0,0,1,1,1,1,1,0,2,0,1,85.95,1215.65,1
131,1,0,0,0,25,1,2,1,0,0,0,1,0,0,2,0,3,58.6,1502.65,0
132,0,0,1,1,67,0,1,1,1,1,1,0,1,1,0,1,2,50.55,3260.1,1
133,0,0,1,1,1,1,2,1,1,1,1,1,1,0,2,0,1,35.45,35.45,0
134,0,0,1,1,2,0,1,1,1,1,1,1,1,1,2,1,1,44.35,81.25,0
135,1,0,1,1,43,0,0,2,2,2,2,2,2,2,0,0,3,25.7,1188.2,1
136,1,0,1,1,23,0,1,0,0,1,1,1,1,1,2,0,2,75.0,1778.5,1
137,1,0,0,0,64,0,1,2,2,2,2,2,2,2,0,1,0,20.2,1277.75,1
138,0,0,1,0,57,0,1,2,2,2,2,2,2,2,0,0,0,19.6,1170.55,1
139,1,1,0,1,1,0,1,0,1,1,1,1,1,1,2,0,0,70.45,70.45,0
140,1,1,0,0,72,0,0,1,0,0,0,0,0,0,0,0,3,88.05,6425.65,1
141,1,0,1,1,8,0,0,1,0,1,1,0,1,0,2,1,1,71.15,563.65,0
142,1,0,0,1,61,0,0,0,1,0,1,1,0,0,0,0,2,101.05,5971.25,1
143,0,0,1,1,64,0,0,0,0,0,1,1,1,1,1,0,3,84.3,5289.05,1
144,0,1,0,1,71,0,0,2,2,2,2,2,2,2,0,1,2,23.95,1756.2,1
145,1,0,0,0,65,0,0,0,0,0,1,0,0,1,0,0,3,99.05,6416.7,1
146,0,0,1,1,3,0,1,2,2,2,2,2,2,2,1,1,0,19.6,61.35,1
147,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2,0,1,45.65,45.65,0
148,0,0,1,0,30,0,1,1,1,0,0,1,0,1,1,1,3,64.5,1929.95,1
149,0,0,0,0,15,0,1,1,1,0,0,0,1,0,2,0,0,69.5,1071.4,1
150,1,0,0,0,8,0,1,1,1,1,1,0,0,0,2,0,1,68.55,564.35,1
151,0,0,1,1,7,0,0,0,1,1,1,1,0,0,2,1,0,95.0,655.5,0
152,1,0,0,0,70,0,0,0,0,0,0,1,0,0,1,0,3,108.15,7930.55,1
153,0,0,0,0,62,0,1,1,0,0,0,0,0,0,0,1,1,86.1,5215.25,1
154,1,0,0,0,6,0,1,2,2,2,2,2,2,2,2,1,0,19.7,113.5,1
155,1,0,0,0,14,0,1,0,1,1,1,1,1,0,2,0,2,80.9,1152.8,1
156,1,0,1,1,22,0,0,0,1,1,1,1,0,1,2,0,2,84.15,1821.95,1
157,0,0,0,0,22,0,1,2,2,2,2,2,2,2,1,1,0,20.15,419.9,1
158,0,0,0,0,16,0,1,1,0,1,0,1,0,1,0,1,0,64.25,1024.0,1
159,0,0,1,1,10,0,0,2,2,2,2,2,2,2,0,1,2,25.7,251.6,1
160,1,0,1,0,13,0,1,1,0,0,1,1,1,1,2,0,1,56.0,764.55,1
161,1,0,0,1,20,0,0,0,0,1,1,1,1,1,2,1,1,82.4,1592.35,0
162,1,0,1,1,2,0,1,0,1,1,1,1,1,1,2,0,1,69.7,135.2,1
163,0,0,1,1,53,0,0,1,1,0,0,0,1,0,0,0,2,73.9,3958.25,1
164,1,0,0,0,11,0,1,2,2,2,2,2,2,2,1,1,0,20.6,233.9,1
165,0,0,0,1,69,0,1,2,2,2,2,2,2,2,0,1,0,19.9,1363.45,1
166,1,0,1,1,4,0,1,0,1,1,1,1,1,1,2,0,2,70.9,273.0,0
167,0,0,0,1,72,0,0,1,0,0,0,0,0,0,0,0,2,89.05,6254.45,1
168,0,1,0,1,58,1,2,1,1,0,0,1,1,0,2,0,1,45.3,2651.2,0
169,1,0,0,0,16,0,1,2,2,2,2,2,2,2,2,1,1,20.4,321.4,1
170,0,0,0,1,43,0,1,0,0,1,0,0,1,1,1,0,2,84.25,3539.25,1
171,1,0,0,1,2,0,0,0,1,1,0,0,0,0,2,0,1,104.4,242.8,0
172,0,0,0,1,14,0,1,1,1,0,0,0,0,0,0,1,0,81.95,1181.75,1
173,1,0,0,1,53,0,1,0,1,1,0,1,0,0,1,0,2,94.85,5000.2,0
174,1,0,1,1,32,0,1,2,2,2,2,2,2,2,1,1,2,20.55,654.55,1
175,1,0,0,1,34,0,0,2,2,2,2,2,2,2,2,1,1,24.7,780.2,1
176,1,1,1,1,15,0,0,0,1,1,1,1,1,1,2,0,0,74.45,1145.7,0
177,1,1,1,1,7,0,1,0,0,1,1,1,1,1,2,1,2,76.45,503.6,0
178,1,0,0,0,15,0,0,0,1,0,0,1,0,0,2,0,2,105.35,1559.25,1
179,0,0,0,1,61,0,1,2,2,2,2,2,2,2,1,0,3,20.55,1252.0,1
180,1,0,1,1,1,1,2,1,1,0,1,1,1,1,2,1,2,29.95,29.95,0
181,1,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0,45.3,45.3,1
182,0,0,1,1,8,0,0,0,1,1,1,1,1,0,2,1,2,84.5,662.65,0
183,0,0,0,0,33,0,1,1,0,1,0,1,0,0,1,1,3,74.75,2453.3,1
184,1,0,1,1,13,0,1,0,1,0,0,1,1,1,2,0,1,79.25,1111.65,0
185,1,0,0,1,1,1,2,1,1,1,1,1,1,1,2,0,1,24.8,24.8,0
186,0,0,1,1,20,0,1,1,1,0,1,1,1,1,2,0,0,51.8,1023.85,1
187,0,0,1,1,3,1,2,1,1,1,1,0,1,1,2,1,1,30.4,82.15,1
188,1,0,1,1,13,0,1,2,2,2,2,2,2,2,1,1,1,19.65,244.8,1
189,1,0,0,1,40,0,0,1,1,0,1,1,1,1,2,1,3,56.6,2379.1,1
190,0,0,0,0,43,0,0,1,0,1,1,0,1,0,1,0,3,71.9,3173.35,1
191,0,0,0,1,6,0,1,0,1,0,0,1,1,0,2,0,1,91.0,531.0,0
192,1,0,0,0,69,0,1,2,2,2,2,2,2,2,0,1,2,19.75,1375.4,1
193,1,0,0,0,72,0,0,0,0,0,0,1,0,0,0,1,3,109.7,8129.3,1
194,0,0,0,0,59,0,1,2,2,2,2,2,2,2,0,1,3,19.3,1192.7,1
195,1,0,0,1,20,0,1,0,0,0,1,0,0,1,2,0,1,96.55,1901.65,1
196,0,0,0,0,24,0,0,2,2,2,2,2,2,2,0,0,2,24.1,587.4,1
197,0,0,1,1,59,0,0,0,1,0,0,0,0,0,2,0,1,111.35,6519.75,1
198,0,0,0,0,72,0,0,0,1,0,0,0,0,0,0,0,2,112.25,8041.65,1
199,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,1,0,20.75,20.75,1
200,1,0,0,1,27,0,1,0,0,1,1,0,0,0,1,0,3,101.9,2681.15,1
201,1,0,1,1,14,0,1,0,1,0,1,0,1,1,2,0,3,80.05,1112.3,1
202,0,0,0,0,71,0,0,0,0,1,0,1,0,0,0,1,1,105.55,7405.5,1
203,0,0,1,0,13,0,1,0,1,1,1,1,0,1,2,0,3,78.3,1033.95,1
204,0,0,1,1,44,0,1,0,1,1,1,1,1,1,2,1,3,68.85,2958.95,1
205,1,0,1,1,33,0,1,0,1,0,1,0,1,1,1,0,2,79.95,2684.85,1
206,0,0,0,0,72,1,2,1,0,0,0,0,1,0,0,0,3,55.45,4179.2,1
207,0,0,1,1,1,0,1,0,1,1,1,1,1,0,2,1,1,79.9,79.9,0
208,1,0,1,1,19,0,1,0,0,1,0,0,0,0,2,0,1,106.6,1934.45,0
209,0,0,0,1,64,0,1,0,1,0,0,0,0,0,1,0,3,102.45,6654.1,1
210,0,0,1,1,2,0,1,1,1,1,1,1,1,1,2,0,3,46.0,84.5,0
211,1,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,25.25,25.25,1
212,0,0,1,0,61,0,1,2,2,2,2,2,2,2,0,1,0,19.75,1124.2,1
213,1,0,0,0,29,0,1,2,2,2,2,2,2,2,1,1,1,20.0,540.05,1
214,0,1,0,1,23,0,0,0,1,1,1,1,1,0,2,1,1,86.8,1975.85,1
215,1,0,0,1,57,1,2,1,0,0,0,1,0,0,2,0,2,58.75,3437.45,1
216,0,0,0,0,72,1,2,1,0,0,0,0,1,1,0,1,3,45.25,3139.8,1
217,0,0,0,1,66,1,2,1,0,0,0,0,0,1,0,0,2,56.6,3789.2,1
218,0,0,0,0,65,0,0,1,1,0,0,0,0,0,0,0,2,84.2,5324.5,1
219,1,0,1,1,8,0,1,0,1,1,1,1,0,1,2,0,2,80.0,624.6,1
220,1,0,1,1,4,0,1,0,1,1,1,1,1,1,2,0,1,70.15,268.35,0
221,1,0,0,1,71,0,0,2,2,2,2,2,2,2,0,1,2,24.75,1836.9,1
222,0,0,0,0,1,0,1,2,2,2,2,2,2,2,1,0,1,20.2,20.2,1
223,0,0,0,1,4,0,1,1,1,1,1,0,1,1,2,1,0,50.05,179.35,0
224,1,0,1,1,12,0,1,2,2,2,2,2,2,2,1,0,2,19.35,219.35,1
225,0,0,1,1,24,1,2,1,0,1,1,1,0,0,1,0,0,50.6,1288.75,1
226,1,0,0,0,31,0,1,1,0,1,0,0,0,0,1,0,0,81.15,2545.75,1
227,1,0,0,1,1,0,1,1,1,1,1,1,0,1,2,1,0,55.2,55.2,0
228,0,0,1,1,30,0,0,0,1,1,1,0,1,0,2,0,3,89.9,2723.15,1
229,1,0,0,0,47,0,0,1,0,0,1,0,0,0,0,0,3,85.3,4107.25,1
230,0,0,1,1,54,0,0,0,0,0,1,0,0,0,0,0,3,108.0,5760.65,1
231,0,0,1,1,50,0,1,0,0,0,1,0,1,0,2,0,3,93.5,4747.5,1
232,0,0,1,1,1,0,1,0,0,1,1,1,1,0,2,0,0,84.6,84.6,0
233,1,0,1,1,72,0,1,2,2,2,2,2,2,2,0,1,3,20.25,1566.9,1
234,1,0,1,1,29,0,0,2,2,2,2,2,2,2,2,1,1,25.15,702.0,1
235,0,0,1,1,2,0,0,1,1,0,1,1,1,1,2,0,0,54.4,114.1,0
236,1,0,1,1,10,1,2,1,1,1,1,0,1,1,0,0,0,29.6,299.05,1
237,0,0,0,1,18,0,0,0,1,1,1,1,1,1,2,0,1,73.15,1305.95,1
238,1,1,1,1,11,0,1,0,1,0,1,1,0,0,2,0,1,95.0,1120.3,0
239,0,0,1,1,16,0,1,2,2,2,2,2,2,2,0,1,0,19.75,284.35,1
240,1,0,1,1,72,0,0,1,1,0,0,0,0,0,0,1,2,86.6,6350.5,1
241,0,0,1,1,72,0,0,0,1,0,0,0,0,0,0,1,2,109.2,7878.3,1
242,1,0,0,0,41,0,1,1,0,1,1,0,0,0,1,0,3,74.7,3187.65,1
243,1,1,0,1,65,0,1,0,0,0,0,1,1,0,2,1,1,94.4,6126.15,1
244,1,1,1,1,13,0,1,1,1,0,0,1,1,1,2,0,1,54.8,731.3,1
245,0,1,1,1,4,0,1,0,0,1,1,1,1,1,2,1,1,75.35,273.4,1
246,0,0,1,1,41,0,0,1,1,1,0,1,1,0,1,1,0,65.0,2531.8,1
247,0,1,1,1,15,0,1,0,1,0,1,1,1,1,2,0,1,74.4,1074.3,0
248,0,0,1,1,1,0,1,1,0,1,1,1,1,1,2,0,0,48.55,48.55,0
249,0,0,1,1,42,0,0,0,0,0,0,1,1,0,1,0,1,99.0,4298.45,1
250,1,0,0,1,51,0,1,0,0,0,0,1,0,1,1,0,1,93.5,4619.55,1
251,1,0,0,0,2,0,1,0,1,1,1,1,1,1,2,1,1,70.4,147.15,0
252,0,1,0,1,1,1,2,1,1,0,1,1,0,1,2,1,1,40.2,40.2,0
253,0,0,1,0,32,0,0,1,1,0,0,0,0,0,1,1,3,83.7,2633.3,1
254,0,0,1,1,10,0,1,2,2,2,2,2,2,2,2,0,0,19.85,193.05,1
255,1,0,0,0,67,1,2,1,1,0,0,0,0,0,0,0,1,59.55,4103.9,1
256,1,0,0,0,61,0,0,0,0,0,0,0,0,0,0,1,3,115.1,7008.15,1
257,0,0,1,1,50,0,0,0,0,0,0,0,0,0,1,1,3,114.35,5791.1,1
258,1,0,0,1,2,0,1,1,1,1,1,1,1,1,2,0,3,44.6,80.55,0
259,1,1,0,1,29,1,2,1,0,1,0,1,1,0,2,0,1,45.0,1228.65,1
260,0,1,1,1,3,1,2,1,1,1,0,1,1,0,2,0,1,41.15,132.2,0
261,0,1,1,1,13,0,0,0,1,0,0,1,0,0,2,0,1,106.9,1364.3,0
262,0,1,0,1,57,0,0,0,1,0,1,1,1,0,2,0,1,89.85,4925.35,1
263,1,0,1,1,31,1,2,1,0,0,1,0,1,0,0,0,2,49.85,1520.1,1
264,1,0,0,1,45,0,0,0,0,0,0,0,0,0,1,1,0,113.3,5032.25,1
265,1,0,0,0,61,0,0,1,0,0,0,0,0,0,0,1,0,88.1,5526.75,1
266,0,0,1,1,50,0,0,2,2,2,2,2,2,2,0,1,2,24.9,1195.25,1
267,1,1,1,1,19,0,1,0,0,0,1,0,0,0,2,0,0,105.0,2007.25,1
268,0,0,1,1,59,0,1,2,2,2,2,2,2,2,0,1,0,19.35,1099.6,0
269,1,0,0,1,71,0,0,2,2,2,2,2,2,2,0,0,3,24.25,1732.95,1
270,1,1,1,1,16,0,1,0,1,1,1,0,0,0,2,0,1,94.45,1511.2,0
271,0,0,0,1,57,0,1,1,0,0,1,0,1,1,0,0,1,59.75,3450.15,1
272,0,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,24.8,24.8,0
273,0,1,0,1,20,0,0,0,1,0,1,0,0,0,2,1,1,107.05,2172.05,1
274,0,0,1,1,1,0,1,0,1,1,1,1,1,1,2,1,0,70.6,70.6,0
275,0,0,0,1,5,0,0,0,1,0,1,0,1,1,2,0,1,85.4,401.1,0
276,1,0,0,1,52,0,0,0,1,0,0,1,0,0,2,0,1,105.05,5624.85,0
277,0,1,0,1,21,0,1,1,0,0,1,1,1,0,2,0,2,64.95,1339.8,1
278,0,0,1,1,14,1,2,1,1,1,0,0,0,0,2,0,1,55.0,771.95,1
279,1,0,1,1,5,0,1,1,1,0,1,1,1,1,2,1,2,50.55,244.75,1
280,1,0,1,1,6,0,1,1,0,0,1,1,1,1,2,1,0,55.15,322.9,1
281,1,0,1,1,10,0,1,1,1,0,1,1,1,1,2,1,1,51.2,498.25,1
282,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,1,0,25.4,25.4,1
283,1,0,1,1,68,0,0,1,0,1,1,1,1,1,2,1,0,54.45,3687.75,1
284,0,0,0,0,18,0,1,0,1,1,0,1,0,0,2,1,0,95.15,1779.95,0
285,1,0,1,1,22,0,0,0,1,1,1,1,1,1,1,0,3,76.0,1783.6,1
286,1,0,1,1,20,0,1,1,1,1,1,1,1,1,2,0,1,44.35,927.15,1
287,0,0,0,1,1,0,1,0,1,1,1,1,1,1,2,1,1,70.0,70.0,0
288,0,1,1,1,8,0,1,0,1,0,1,1,1,1,2,0,1,74.5,606.55,0
289,0,0,1,1,10,0,1,1,1,1,1,1,1,1,2,0,3,44.85,435.4,0
